id_alojamiento,nombre,id_anfitrion,nombre_anfitrion,barrio,latitud,longitud,tipo_alojamiento,precio,minimo_noches,disponibilidad_365
42808,Quiet room right DOWNTOWN Stockholm,186922,Nina,Norrmalms,59.34342,18.05298,Private room,853,1,272
145320,In the middle of it all - with a view!,703851,Kim,Sdermalms,59.31364,18.05256,Private room,1285,2,0
155685,Hornstull with water view!,748592,Robert,Sdermalms,59.31535,18.03277,Entire home/apt,3247,4,0
164448,Double room in central Stockholm with Wi-Fi,784312,Li,Sdermalms,59.31268,18.06258,Private room,598,3,149
170651,Petit Charm Rooftop next to heaven,814021,Marie,Sdermalms,59.31568,18.03138,Entire home/apt,745,3,197
220851,One room in appartement,412283,Fredric,Kungsholmens,59.33376,18.03816,Private room,598,3,336
242188,Single room in central Stockholm with Wi-Fi,784312,Li,Sdermalms,59.31347,18.06106,Private room,559,2,137
259025,sufficient large room Stockholm nr1,1361093,Ali,Rinkeby-Tensta,59.38682,17.92276,Private room,196,60,348
259722,Near shopping-IT Business(Bunk bed),1261494,Marcelo,Rinkeby-Tensta,59.41003,17.9366,Private room,226,21,307
274876,Designer apartment innercity Sthlm,1437153,Emma,Sdermalms,59.31849,18.09536,Entire home/apt,3188,3,343
283446,Comfort Stay @ Kista - Super Value!,1476562,Vidhatri,Rinkeby-Tensta,59.41533,17.91465,Private room,294,2,0
299154,Cosy apartment central at Sodermalm,1541953,Daniel,Sdermalms,59.31767,18.07137,Entire home/apt,1099,2,222
301680,one cosy double room for rent,1554143,Anitta,lvsj,59.27778,17.99226,Private room,745,1,361
302496,"Spacious, bright, unique apartment",1557657,Seta,Norrmalms,59.34518,18.06044,Entire home/apt,2796,5,250
313195,"Design, style & vintage by Odenplan",956221,David,Norrmalms,59.34763,18.05015,Entire home/apt,912,3,18
313763,Excellent location in the city center,1533849,Martin P.,Norrmalms,59.34398,18.04959,Private room,745,2,14
338470,Apartment in the heart of Stockholm,1719449,Gustaf,stermalms,59.33742,18.08873,Entire home/apt,1246,3,151
343925,Modern central 1 bedroom flat ,1744774,Annika,Kungsholmens,59.3366,18.02942,Entire home/apt,755,2,0
357012,Gorgeous sunny apt with sea views,1214515,Calle,Sdermalms,59.31973,18.03999,Entire home/apt,1697,3,60
368952,Small house,746396,Madeleine,Skarpncks,59.24729,18.17809,Entire home/apt,363,1,34
438129,Bunk bed close by Alvsjo Exhibition,914316,Ea,Enskede-rsta-Vantrs,59.26377,18.02449,Private room,353,1,336
442837,Modern single room in Stockholm with Wi-fi,2200827,Jo,Hgersten-Liljeholmens,59.30914,18.02386,Private room,559,2,260
451155,Spacious house in Stockholm,2240860,Malin,Enskede-rsta-Vantrs,59.28021,18.05355,Entire home/apt,1501,3,238
475409,CHARMING 1 Bed Room in City Center (share),2356697,Cor,Sdermalms,59.3144,18.08311,Private room,490,3,151
514210,Room  with Forrest view,2532825,Margareta,Farsta,59.25691,18.11615,Private room,589,2,0
521604,City center apt with balcony,1111727,Marie-Louise & Fredrik,Norrmalms,59.34232,18.06381,Entire home/apt,1197,5,306
526170,Family friendly in central location,2586439,Magnus,stermalms,59.34616,18.09607,Entire home/apt,1403,4,0
530454,Unique loft apartment,2605165,Jakob,Enskede-rsta-Vantrs,59.28098,18.09073,Entire home/apt,951,3,0
533880,Nice room Erik Dahlbergsgatan,2624450,Jarl,stermalms,59.34384,18.08977,Private room,520,10,0
536283,Studio apartment right in the city,2624970,Paolo,Sdermalms,59.31211,18.07801,Entire home/apt,1363,3,327
543045,"1 room studioflat, Hornstull, STHLM",2670016,Anton,Sdermalms,59.31929,18.03214,Entire home/apt,1001,4,0
553914,Cozy studio 5 minutes from Central Station,2722006,Sibelle,Norrmalms,59.3376,18.04908,Entire home/apt,598,2,0
556363,Spacious apartment at top location,2735709,Lennard,Norrmalms,59.34343,18.03734,Entire home/apt,1118,6,0
565912,Savor Sea Views at a Sweet Retreat with Heaving Bookshelves,2782963,Patrik,Hgersten-Liljeholmens,59.31569,18.00468,Entire home/apt,2541,4,0
568341,Junior 1 bedroom Apartment Stockholm 2,2755002,Checkin,Kungsholmens,59.33603,18.03005,Entire home/apt,1668,2,0
575371,"Quiet room in a big central flat, private bathroom",2829979,Tomas,Sdermalms,59.31078,18.06056,Private room,795,3,0
581243,Great Room in City Center,2860556,Edwin,stermalms,59.34044,18.09154,Private room,490,1,0
596930,Budget Apartment in Bustling Suburbian Stockholm!,609313,Elias & Sanna,Enskede-rsta-Vantrs,59.26174,18.03902,Entire home/apt,500,3,220
608672,Cozy & quiet studio in a superb city location,3016996,Karin,Norrmalms,59.3389,18.05652,Entire home/apt,647,2,296
610948,"Artistic bright apt, great location",2594467,Lina,Sdermalms,59.3209,18.05807,Entire home/apt,1001,5,13
620848,Green & Spacious 10 min from centre,870233,Hanna & K,lvsj,59.28034,18.01079,Entire home/apt,628,2,0
624886,Wonderful apt in trendy Hornstull!,3098275,Oskar,Sdermalms,59.31984,18.0363,Entire home/apt,1805,6,32
628555,Bright & cosy home. South of city.,3113390,Anna,Hgersten-Liljeholmens,59.29192,17.99227,Entire home/apt,402,2,328
646635,Bedroom in 1900-century apartment,2243859,Kristina,Norrmalms,59.34983,18.05782,Private room,647,2,0
667113,Wonderful 3-bedrooms in city center,3223957,Noor,Norrmalms,59.33763,18.05295,Entire home/apt,2501,3,60
688947,Fresh home with peace and silence.,3503054,Alexandre,Skarpncks,59.26903,18.12907,Private room,500,2,365
700113,Studio in the center of Stockholm,1001073,Ilona Margareta,Norrmalms,59.34715,18.05517,Entire home/apt,863,2,308
723539,"Lovely Apt-central, calm, nice area",2586493,Mathias,stermalms,59.33714,18.0784,Entire home/apt,902,4,0
739726,Stockholm City- Centrally Located,2400487,Sanna,Sdermalms,59.31442,18.07951,Entire home/apt,824,3,21
748847,Gorgeous apartment in 1885 building,3934547,Heath,Sdermalms,59.31612,18.07526,Entire home/apt,1246,120,158
763407,Cozy flat in central Stockholm,3549257,Gabriella,Norrmalms,59.34417,18.05146,Entire home/apt,951,3,2
776012,Old town flat with a fantastic view,4093218,Majken,Sdermalms,59.32412,18.0709,Entire home/apt,922,1,0
