id_alojamiento,id_valoracion,fecha,id_revisor,nombre_revisor,comentario
42808,85246,2010-08-26,45732,Cassi,"Nina is truly a wonderful hostess. The room was very cozy and her apartment is lovely and perfectly located in a great neighborhood with lots of restaurants and cafes. There are two grocery stores within walking distance. It is also super close to the subway station, making it a breeze to get there from the airport and to get into city center.  Nina was  was not only very helpful and responsive, but tremendously pleasant and welcoming. When I arrived she had prepared a welcome kit with information about local attractions, maps of the city, and even a lonely planet guide. She even arranged for me to attend yoga class with her, which was fantastic! "
42808,87545,2010-08-30,212295,Eva,"Nina is a great person, and we enjoyed staying at her place. The room is lovely, and Nina did everything in order to make us feel comfortable and was very helpful. Would definitely stay with her again. "
42808,90227,2010-09-04,16461,Dafne,"Nina's place is very nice, clean and very close to what's important, i.e. shops, restaurants and subway station. What really makes a difference is Nina herself, not only an extremely caring host, but also a splendid person. If at the end of your stay you leave as friends, that is a lot more than you thought you'd get from your trip to Stockholm. "
42808,101125,2010-09-20,208617,Aron,"We found both the hostess and the apartment well prepared for our visit. When we came, there was a number of  pamphlets and guidebooks ready for us. Nina was nice, friendly and helpful, which contributed to making our Stockholm experience a very pleasant one. Her place is quite close to the center of the city. We certainly recommend it for future guests to stay at."
42808,124443,2010-10-22,251113,Nadine,Very ugly and dirty apartment for an horrible visit to Stocholm
42808,182539,2011-02-15,164728,Milena,Nina is a truly considerate host who does everything possible to help guests feel comfortable and welcome. It has been a pleasure getting to know her - she is a dazzling conversationalist and has a warm heart =-)
42808,226118,2011-04-14,385780,Mary,"Nina was a fantastic hostess--she provided me with all sorts of relavant and interesting information and advice for my wanderings. She made me feel very welcome in her home. Her apartment is very centrally located in a nice neighborhood with a subway stop about a block away. The room was quiet, spacious, and comfortable. This was my first experience using AirBnB and it was a terrifically positive experience--both with the space itself and with the super-wonderful Nina. Thanks!"
42808,257115,2011-05-09,12309,Simon,"Very nice room. Quiet. Nina was very helpful. Excellent location, close to shops and restaurants, and public transport (bus or train)."
42808,290238,2011-05-31,460129,Claudia,"We really enjoyed our stay at Nina's home. We felt really welcome and Nina was extreamly helpful. The location was also great, only a 5-10 minute walk to the center with lots of restaurants and a 20 minute walk to the old town. Thanks again Nina for your hospitality!"
42808,433979,2011-08-10,396459,Suse,"Nina is a wonderful host. Extremly helpful and nice she makes your stay as comfortable it can be. She makes you feel really welcomed, is very supportive and fun talking to. The place is very nice and has the perfect connection to everything you want to go to.I really can recommend staying with Nina, you will absolutly enjoy your stay!!"
42808,461483,2011-08-20,792619,Emily,"Great room in great apartment in great part of town! Nina was super helpful on things to do and had lots of maps and brochures for us. The bed is really comfortable, and the plants in the apartment are divine! The apartment is close to the subway, but we walked everywhere (and enjoyed lots of waffle rewards!). "
42808,476583,2011-08-26,880304,Andrew,"Great experience staying at Nina's place. The room is clean and comfortable, perfect for a solo traveler. Nina is very accommodating and gives great advice on transportation, area restaurants, etc. The location is also great: close to a metro station that is only three stops from the central station. It's also a very easy walk to Norrmalm, Oestermalm, and Kungsholmen. I'd happily stay at Nina's flat again."
42808,482873,2011-08-29,365093,Kim & Luke,The host canceled my reservation 26 days before arrival.
42808,503116,2011-09-05,910723,Janet,"Nina was a wonderful host - very kind, friendly and gracious.   We really enjoyed our stay here and would highly recommend her. She was happy to answer all of our questions.  She helped us purchase train tickets for our day trip on her computer.  She even helped us out when we lost our international cell phone the first day we arrived.  She was able to call and communicate for us in Swedish and even went out to pick it up.  Very wonderful thing to do for us! We are very grateful.  The apartment, bedroom and bed were all comfortable."
42808,1189292,2012-04-27,1767197,Laurent,"A truly central location but still  a very quiet apartment - a great place to stay if you want to explore Stockholm. Nina was attentive and yet easy-going, making my stay comfortable and relaxed. "
42808,1466250,2012-06-12,508601,Jana,"Best host ever!!! We really enjoyed staying at Ninas apartment. It is centrally located, nicely equipped and very clean. Nina was so nice and helpful with restaurant, sightseeing and travel recommendations and made us feel like home. Definitely recommended!"
42808,1486366,2012-06-15,266613,Chris.,"A very nice stay at Nina's place! The location is really really good, with easy reach to all parts of Stockholm, either by metro, by bus, by bicycle or just walking. The bed is *really* comfortable, with all amenities, such as internet. A warm welcome with fruits, water, and easy arrangements for keys. She helped me with suggestions for restaurants, and provided many tourist information as well as maps. She is very nice, respectful, and nice to talk to. I really enjoyed my short stay there! To recommend without any hesitation!"
42808,1842592,2012-07-30,2790915,Rodrigo,"I couldn't have had a better stay than Nina's. More than a room, I could find a great person to chat about everything and receive some really nice tips about the city. And as I am moving to Stockholm, the first few days could be scary, but Nina made me feel like I was in my own house. Thank you very much! :)"
42808,1918789,2012-08-07,139880,Ritik,"We had a wonderful time staying with Nina in Stockholm! The apartment is very comfortable - the bedroom was spacious and light-filled and Nina was very generous in sharing the rest of her apartment with us. The location is very convenient - everything in Stockholm was comfortably walkable, the metro station is less than 5 minutes walk, and the neighborhood around the apartment is filled with great cafes, restaurants, bars, vintage stores, parks, and was a super cool place to spend some time and explore.Nina was a perfect host from the very start - very flexible about coordinating arrival and departure times, provided awesome Swedish treats for us throughout our stay, great conversation every morning, and a stack of Stockholm maps and knowledgable recommendations. Feel like we have a new friend in Stockholm after one weekend!Highly recommended!"
42808,2193215,2012-09-04,3013159,Taka,"Nina made a huge difference in how I remember my Stockholm experience!  She is very kind and friendly, and made me feel completely at home. I did a lot of sightseeing and her suggestions about where to go/see in Stockholm were just perfect for me. I really enjoyed my stay at Nina's and I'd recommend to anyone  who visit Stockholm! "
42808,7654714,2013-09-28,6895983,Jeff,"I could not have asked for a better place to stay or a better host.  Nina was the most engaging and helpful host ever.  She included me in a dinner with her friends who were all as sophisticated and educated as she was.  We miraculously had a lot in common and so I continue to be a huge fan of AirBnB.  As a result, I love Sweden and cannot wait to return!"
